# LBG mean spectra from astro-ph/0112262
# lambda (A)  Flam W/m^2/A
1306.94  4.48839363787126e-21  
1306.94  5.26898383576192e-21  
1307.71  5.2627807431702e-21  
1307.71  5.847534159078e-21  
1308.48  5.84065399815585e-21  
1308.48  6.21056383691945e-21  
1310.03  6.19587611360712e-21  
1310.03  6.27357781664087e-21  
1310.8  6.2662094368896e-21  
1310.8  6.14980250456083e-21  
1311.57  6.14258373940427e-21  
1311.57  5.91006059613978e-21  
1313.11  5.89620622559082e-21  
1313.11  5.76087843977894e-21  
1313.88  5.75412808727355e-21  
1313.88  5.65759106151517e-21  
1314.65  5.65096561847563e-21  
1314.65  5.6123786708208e-21  
1316.2  5.59916781423852e-21  
1316.2  5.57992841349742e-21  
1316.97  5.57340542688986e-21  
1316.97  5.63107345296297e-21  
1317.74  5.62449452275732e-21  
1317.74  5.64368898084796e-21  
1318.51  5.63709916112049e-21  
1318.51  5.77130348169464e-21  
1320.05  5.75784547176487e-21  
1320.05  5.79611736571249e-21  
1320.82  5.78936139674112e-21  
1321.59  5.78261723305092e-21  
1321.59  5.68718611672476e-21  
1323.14  5.67386934720911e-21  
1323.14  5.57867882259555e-21  
1323.91  5.57219147297914e-21  
1323.91  5.55315839106022e-21  
1324.68  5.54670447129035e-21  
1324.68  5.45173514454676e-21  
1326.22  5.43908144061157e-21  
1326.22  5.51488055980174e-21  
1326.99  5.50848228098287e-21  
1327.76  5.50209513048389e-21  
1327.76  5.59664138522353e-21  
1328.54  5.5900716187132e-21  
1328.54  5.47675269518966e-21  
1330.08  5.4640777936997e-21  
1330.85  5.45775683677017e-21  
1330.85  5.2131038530842e-21  
1331.62  5.20707671409999e-21  
1331.62  4.83111486294012e-21  
1333.16  4.81995998313829e-21  
1333.16  4.10726156859511e-21  
1333.93  4.10252117199556e-21  
1333.93  3.54052989173366e-21  
1334.71  3.53639295355709e-21  
1334.71  3.34928141335903e-21  
1335.48  3.34542032488983e-21  
1335.48  3.71921199680088e-21  
1337.02  3.71064924094921e-21  
1337.02  4.40057679194086e-21  
1337.79  4.39551251581979e-21  
1337.79  5.04739924495733e-21  
1338.56  5.04159393242082e-21  
1338.56  5.37646340997843e-21  
1340.1  5.36411359095371e-21  
1340.1  5.47548591836657e-21  
1340.88  5.46911750834469e-21  
1340.88  5.50619287743489e-21  
1341.65  5.49987446075202e-21  
1341.65  5.51839087310091e-21  
1343.19  5.50574418844992e-21  
1343.96  5.4994371427478e-21  
1343.96  5.48098432775815e-21  
1344.73  5.47470923962601e-21  
1344.73  5.56688427314256e-21  
1345.5  5.560514485918e-21  
1345.5  5.63415688033981e-21  
1347.05  5.62119831335393e-21  
1347.05  5.69467133018804e-21  
1347.82  5.6881665381624e-21  
1347.82  5.74322487105027e-21  
1348.59  5.73666836290107e-21  
1348.59  5.62669390247274e-21  
1350.13  5.61386526113526e-21  
