# Spectrum of the Sun from Kohl, Parkinson & Kurucz Atlas
# Sun center, observed, averaged
#
# My mods:
#    Used abs() for uncertain data (negative values in original)
#    Interpolated gaps  (zero in original)
#    Binned up to 0.9328 A/pix
# Wave(air)/A     ergs/cm^2/sec/nm/steradian
2771.39352937325  8840919.5293072  
2772.32638206104  4975790.67258647  
2773.25924331109  8200241.19286175  
2774.19209619925  8592615.42302146  
2775.12495345671  6823632.14324702  
2776.05781193348  5830828.53393632  
2776.99066350329  6100967.12405268  
2777.92352615879  4019977.28607207  
2778.856375501  4744349.44290102  
2779.78923943245  3613559.51181731  
2780.72209020173  4596835.26867453  
2781.65494979539  4019258.67008987  
2782.58780466969  4306695.25875561  
2783.52066120728  3657012.19665324  
2784.4535188079  4191430.33509126  
2785.38637304911  4182763.97513203  
2786.31923284592  4497789.75769424  
2787.25208719496  4036324.05448391  
2788.18494297196  2713226.99351999  
2789.11780294877  3023347.10209619  
2790.0506529617  2533312.26075819  
2790.98351717732  1995755.59797225  
2791.91636490832  1830201.77771732  
2792.84923051856  1600093.69471775  
2793.78207959256  1183615.1199549  
2794.71494092746  719922.33192297  
2795.64779401143  2225619.60643951  
2796.58065238844  845712.813300905  
2797.51350815728  1131835.93510925  
2798.4463641716  1312972.80328607  
2799.37922225398  1691992.89295055  
2800.31207826385  1619784.70439521  
2801.24493238002  1192706.39786513  
2802.1777923561  1259124.11012259  
2803.11064403258  1385340.6212333  
2804.04350658339  1217869.97349285  
2804.97635597721  1578601.47479637  
2805.90921997707  2175613.42913518  
2806.84207066459  2204858.78114713  
2807.77493204754  3285766.49164821  
2808.70778840345  3165365.20498367  
2809.64064351166  4314161.08790415  
2810.5735024957  3983269.40631461  
2811.50635524049  4020868.94743233  
2812.43921664672  4412034.12579116  
2813.37206933274  4201938.06953749  
2814.30492677277  7132728.25816648  
2815.23778347858  6672324.36014614  
2816.17063842218  6856348.96093784  
2817.10349770902  6153570.41655306  
2818.03635031259  6997293.5427278  
2818.96921110019  6660650.92000446  
2819.90206504907  8603109.30871684  
2820.83492146313  8163118.00394779  
2821.76777947233  7073563.8214596  
2822.70063291972  6657429.26189194  
2823.63349356458  9247209.33448134  
2824.56634459422  7944375.31552644  
2825.49920776994  5555616.31649121  
2826.43205872944  8588865.59558842  
2827.36491790661  8716327.19770592  
2828.29777286764  8675685.68498877  
2829.23062950693  9827898.0358655  
2830.16348714717  9408860.36088481  
2831.0963413003  10505242.7211308  
2832.0292006122  7286335.43973682  
2832.96205601401  10253563.8537662  
2833.89491097514  10245326.0712657  
2834.82777046941  8894422.41965719  
2835.76062239959  4418930.16113545  
2836.69348460761  9053481.03105442  
2837.62633402452  10077511.1920782  
2838.55919886254  9293865.48567438  
2839.49204817036  10076360.6930997  
2840.42490898858  7048180.77628309  
2841.35776226261  8877000.77264878  
2842.29062062691  8940011.7458998  
2843.22347650414  5230159.5977087  
2844.15633236918  7314446.48262293  
2845.08919003716  9297426.16517682  
2846.02204706599  6256298.54740958  
2846.95490044606  5304416.62638904  
2847.88776147229  4556126.11829113  
2848.82061191961  3600171.57592031  
2849.75347561814  2391990.48346838  
2850.68632348544  1945938.32530378  
2851.6191882706  1022792.13544183  
2852.55203923925  991668.535210915  
2853.48489839664  1885635.61767928  
2854.4177533315  3035430.02136819  
2855.35061003664  3343043.41420787  
2856.28346757136  4661295.22892033  
2857.21632177651  5556183.193227  
2858.14918110364  5765977.17770687  
2859.08203813802  7666354.4954228  
2860.01489472847  10760299.2782585  
2860.94775254118  7997018.17219576  
2861.88060620516  11024239.8301798  
2862.81346663343  9428837.01501219  
2863.74631771666  9298375.37892935  
2864.67917934022  11202981.9236756  
2865.61203347047  10477694.9495268  
2866.54488946626  9493631.65053862  
2867.47774761632  8765553.25825981  
2868.41060110312  9122473.45597761  
2869.34346185931  6568890.62171056  
2870.27631278918  10532603.4410369  
2871.20917544227  14163519.0540999  
2872.14202753822  12723280.1074561  
2873.07488580521  12259731.940239  
2874.00774194851  8996639.33510251  
2874.94059727478  11431682.8304754  
2875.87345604075  9460272.77786613  
2876.80630873195  11431372.9380831  
2877.73916885548  10354730.0654055  
2878.67202447555  8810067.96141418  
2879.60487899172  7047991.52630477  
2880.53773861376  4662428.16699794  
2881.47059057948  2426998.84355995  
2882.40345290585  4505457.27237515  
2883.3363021685  8070531.52448848  
2884.26916656224  11657326.3495072  
2885.20201689519  13832107.4372072  
2886.13487692519  11637797.131068  
2887.06773130223  13595156.4780387  
2888.000588398  9244501.96705653  
2888.93344542264  9264219.86549658  
2889.86629982382  11052337.8108443  
2890.79915828651  10656794.2280709  
2891.73201552403  12864048.9720698  
2892.66486846615  10719887.6301632  
2893.59772961628  11010121.3043401  
2894.5305800915  11537989.2405146  
2895.46344387079  15765882.6727879  
2896.39629162943  14230083.7960314  
2897.32915759559  15436292.0185396  
2898.26200633879  14636169.4968439  
2899.19486800449  14878398.2690791  
2900.12772073253  19377264.0312381  
2901.06057788264  18522220.7038116  
2901.99343648635  14034680.9046716  
2902.92628923114  17489191.1465233  
2903.85914935613  16855095.4845986  
2904.79200498495  20606948.1760168  
2905.72485948218  16558308.7119695  
2906.6577190772  15812834.6783944  
2907.59057110961  14441517.2978876  
2908.52343332962  15388013.2207213  
2909.45628264471  17087046.6491465  
2910.38914866207  15724430.5550892  
2911.32200062675  15551672.4046972  
2912.25485907097  15687011.4816094  
2913.18771501735  20886501.6922843  
2914.12056889866  15512600.2574233  
2915.05343077116  13339639.730717  
2915.98628019283  15087224.6564878  
2916.91914369528  19146849.6051106  
2917.85199594664  11755893.063022  
2918.78485382132  14789223.9410348  
2919.71771009249  17197751.4711409  
2920.65056539202  14931148.3739035  
2921.58342440165  16319145.311674  
2922.51627687373  17205042.1289777  
2923.44913817638  9657524.8748579  
2924.38199163534  12180025.5102965  
2925.31484853933  13369612.9151063  
2926.24770603264  9808438.83988259  
2927.18055836031  14868919.4201289  
2928.11342178645  12569665.1347769  
2929.04626960016  6644686.27440097  
2929.9791348185  19225450.2997502  
2930.91198534418  16226985.3214673  
2931.84484495433  17222962.9374591  
2932.77769948238  12776863.5572032  
2933.71055652953  15551176.7633797  
2934.64341378704  17584482.0179661  
2935.5762679142  17286659.4906783  
2936.5091276348  5437135.18446157  
2937.44198265387  10313260.9063748  
2938.37483799774  13696517.9455397  
2939.30769704793  10039356.875043  
2940.24054787557  14617398.7485844  
2941.17341277672  9562098.85891604  
2942.10625908406  14373543.8688676  
2943.0391258575  16912631.1535575  
2943.97197478427  10934304.2125262  
2944.90483603714  8836012.912586  
2945.83768887652  17920595.9040874  
2946.7705476495  15998560.6688336  
2947.70340314401  4573819.98532837  
2948.63625898309  8945775.21805924  
2949.56911703961  10581969.844129  
2950.50197240697  13348605.9412245  
2951.43482873493  16567213.7099906  
2952.36768653183  16966067.6580354  
2953.30053891457  12792376.0420275  
2954.23340223204  8105232.03718941  
2955.16625009935  17866997.1384985  
2956.09911531916  15439026.1540181  
2957.03196585316  8221112.09096096  
2957.9648254452  16245373.3380756  
2958.89767994541  17493282.2942125  
2959.83053706007  13061583.6716602  
2960.76339421038  12300483.6282109  
2961.69625005198  14474772.2262613  
2962.62911145021  18013732.2154473  
2963.56196350847  16836017.007153  
2964.49482318128  11554040.3590004  
2965.42767760072  7328230.05656664  
2966.36053330732  6727446.02230318  
2967.29339335453  6622091.59826537  
2968.22624438416  14487032.687766  
2969.15910649598  11072478.8743359  
2970.09196013798  5319152.33226031  
2971.02481662202  14606539.1119032  
2971.95767428382  12858483.4452627  
2972.89052818015  7077745.04309365  
2973.82338860554  11042112.0737298  
2974.75623945752  18357611.5191914  
2975.68910257206  12954204.2863681  
2976.6219528622  13966211.2735902  
2977.5548143045  22887234.8484804  
2978.48766695445  16741566.0504155  
2979.42052443054  6738369.31450802  
2980.35338270826  14595027.3983533  
2981.28623545305  8397750.93597454  
2982.21909595763  10812558.1808698  
2983.15195115327  8417716.94866762  
2984.08480613727  7430497.07158897  
2985.0176652821  6632674.79890499  
2985.95051770928  9125133.33733231  
2986.88337959932  8945756.4461541  
2987.8162288896  9530214.06075297  
2988.74909363844  13135429.3238732  
2989.68194226952  17619182.1693278  
2990.61480537412  17745391.9623085  
2991.54765636177  14334715.4551293  
2992.48051555376  13687390.5611786  
2993.41337209098  14550310.4129236  
2994.34622654492  4549240.18963722  
2995.27908538867  10443465.0138289  
2996.21194224513  14447420.805741  
2997.14479556831  16184954.3273295  
2998.07765633738  17284586.7376763  
2999.01050716769  9202854.62403886  
