# LBG mean spectra from astro-ph/0112262
# lambda (A)  Flam W/m^2/A
1308.48  6.34255809656637e-21  
1308.48  6.56359985754418e-21  
1310.03  6.54807721883185e-21  
1310.03  6.34760857307459e-21  
1310.8  6.34015324346112e-21  
1310.8  6.24003664679498e-21  
1311.57  6.23271196293918e-21  
1311.57  6.01271050398159e-21  
1313.11  5.99861550140578e-21  
1313.11  5.85895541697379e-21  
1313.88  5.85209014203502e-21  
1313.88  5.61292856714991e-21  
1314.65  5.60635542707981e-21  
1314.65  5.5466437312037e-21  
1316.2  5.53358760667188e-21  
1316.2  5.6130215681475e-21  
1316.97  5.60645989534388e-21  
1316.97  5.74531979735795e-21  
1317.74  5.73860739016389e-21  
1317.74  5.79803937561107e-21  
1318.51  5.79126932956712e-21  
1318.51  5.83085589397462e-21  
1320.05  5.81725901473078e-21  
1320.82  5.81047840300018e-21  
1320.82  5.8301853160074e-21  
1321.59  5.82339359557041e-21  
1321.59  5.784008507425e-21  
1323.14  5.77046502448123e-21  
1323.14  5.73115502205756e-21  
1323.91  5.72449036049229e-21  
1323.91  5.70485821574318e-21  
1324.68  5.69822798936928e-21  
1324.68  5.79625753384232e-21  
1326.22  5.78280417911751e-21  
1326.22  5.76325742155857e-21  
1326.99  5.7565709797602e-21  
1326.99  5.69794763046115e-21  
1327.76  5.69134079264363e-21  
1327.76  5.57424705994682e-21  
1328.54  5.56770358161151e-21  
1328.54  5.52872948657034e-21  
1330.08  5.51593429469168e-21  
1330.08  5.22422875837252e-21  
1330.85  5.21818526371185e-21  
1330.85  4.84912240982557e-21  
1331.62  4.84351608861288e-21  
1331.62  4.30026457926433e-21  
1333.16  4.29033541470115e-21  
1333.16  4.01933683465021e-21  
1333.93  4.01469791639647e-21  
1333.93  3.82134850284104e-21  
1334.71  3.81688344168048e-21  
1334.71  4.10656868283673e-21  
1335.48  4.10183458527e-21  
1335.48  4.58408673330753e-21  
1337.02  4.57353277307778e-21  
1337.02  5.2856126523346e-21  
1337.79  5.27952985837235e-21  
1337.79  5.62554662051221e-21  
1338.56  5.61907634646891e-21  
1338.56  5.69587866114675e-21  
1340.1  5.68279514038451e-21  
1340.1  5.62532989270186e-21  
1340.88  5.61878720264673e-21  
1340.88  5.5422504258615e-21  
1341.65  5.53589063274657e-21  
1341.65  5.57410677452515e-21  
1343.19  5.56133240384184e-21  
1343.19  5.48505865451406e-21  
1343.96  5.4787753049016e-21  
1343.96  5.51687679687843e-21  
1344.73  5.51056061605316e-21  
1344.73  5.60568870139944e-21  
1345.5  5.59927451304505e-21  
1345.5  5.54225302807533e-21  
1347.05  5.52950584005017e-21  
1347.05  5.60534308762398e-21  
1347.82  5.59894033162574e-21  
1347.82  5.58001506183285e-21  
1348.59  5.57364487521348e-21  
1348.59  5.66822917941267e-21  
1350.13  5.65530583927338e-21  
1350.13  5.69304342691068e-21  
1350.9  5.68655531658211e-21  
1350.9  5.64886073680788e-21  
1351.67  5.64242664586563e-21  
1351.67  5.73656396946963e-21  
1353.22  5.72342999004392e-21  
1353.22  5.7046554607815e-21  
1353.99  5.69816894951298e-21  
1353.99  5.67939940390414e-21  
1354.76  5.67294527952951e-21  
1354.76  5.57922054638704e-21  
1355.53  5.57288386676602e-21  
1355.53  5.59161078892738e-21  
1357.07  5.57892729478568e-21  
1357.07  5.63496433616358e-21  
1357.84  5.62857522951333e-21  
1357.84  5.79651201513021e-21  
1358.61  5.7899434642625e-21  
1358.61  5.64083909265587e-21  
1360.16  5.62799013549767e-21  
1360.16  5.66517321128353e-21  
1360.93  5.65876443297199e-21  
1360.93  5.54732519912129e-21  
1361.7  5.54105328501627e-21  
1361.7  5.7265969214803e-21  
1363.24  5.71366599510068e-21  
1363.24  5.71366599510068e-21  
1363.24  5.63960321286063e-21  
1364.01  5.63323776278504e-21  
1364.01  5.59626429368859e-21  
1364.78  5.58995132322242e-21  
1364.78  5.4237181352784e-21  
1365.56  5.41752391177028e-21  
1365.56  5.43597674678432e-21  
1367.1  5.42373669248918e-21  
1367.87  5.41763216237984e-21  
1367.87  5.45439725462333e-21  
1368.64  5.44826166826994e-21  
1368.64  5.41153793263979e-21  
1370.18  5.39938028169063e-21  
1370.18  5.43602151316672e-21  
1370.95  5.42991689797782e-21  
1370.95  5.53974907216241e-21  
1371.73  5.5334507834894e-21  
1371.73  5.55173799125006e-21  
1372.5  5.5455104661232e-21  
1372.5  5.61856131864194e-21  
1374.04  5.60597400590278e-21  
1374.04  5.53308680985664e-21  
1374.81  5.52689063184629e-21  
1375.58  5.5207048561134e-21  
1375.58  5.4661498986308e-21  
1377.12  5.45393140773215e-21  
1377.12  5.41765855286595e-21  
1377.89  5.41160519376124e-21  
1377.89  5.32100067733533e-21  
1378.66  5.31505863744246e-21  
1378.66  5.2607471650481e-21  
1380.2  5.24901403816969e-21  
1380.2  5.19483944593167e-21  
1380.97  5.18904799324576e-21  
1380.97  5.26120549799019e-21  
1381.75  5.25526725734669e-21  
1381.75  5.16516825195091e-21  
1382.52  5.15941633226651e-21  
1382.52  5.30342362379249e-21  
1384.06  5.29162828450492e-21  
1384.06  5.30957545701578e-21  
1384.83  5.30367258592948e-21  
1384.83  5.32161544913673e-21  
1385.6  5.31570247954547e-21  
1385.6  5.26194932602713e-21  
1387.14  5.25027220075944e-21  
1387.14  5.07147185747799e-21  
1387.92  5.06577320553932e-21  
1387.92  4.94074737434292e-21  
1388.69  4.9352698080692e-21  
1388.69  4.64983997081691e-21  
1390.23  4.63954413852593e-21  
1390.23  4.40814202204875e-21  
1391  4.40326304305019e-21  
1391  4.17210154009471e-21  
1391.77  4.16748636730139e-21  
1391.77  3.98987367513013e-21  
