# LBG mean spectra from astro-ph/0112262
# lambda (A)  Flam W/m^2/A
1317.74  4.80635450216106e-21  
1317.74  4.92254057836231e-21  
1318.51  4.91679280325941e-21  
1320.05  4.90532741306139e-21  
1320.05  4.67375060447419e-21  
1320.82  4.66830286902106e-21  
1321.59  4.66286465286101e-21  
1321.59  4.6051010019962e-21  
1323.14  4.59431797724878e-21  
1323.14  4.65194637225785e-21  
1323.91  4.64653670386264e-21  
1323.91  4.58897532392257e-21  
1324.68  4.58364198450006e-21  
1324.68  4.6411364661992e-21  
1326.22  4.6303641954984e-21  
1326.99  4.62499211883519e-21  
1327.76  4.61962938565157e-21  
1327.76  4.50519029941613e-21  
1328.54  4.49990176182465e-21  
1330.08  4.48948759585442e-21  
1330.08  4.43245901088515e-21  
1330.85  4.42733145165969e-21  
1330.85  4.14253532401528e-21  
1331.62  4.1377459246769e-21  
1331.62  3.79639922730486e-21  
1333.16  3.78763347069137e-21  
1333.16  3.61733732157061e-21  
1333.93  3.6131623711195e-21  
1333.93  3.89664484753397e-21  
1334.71  3.89209180623134e-21  
1334.71  4.23185982306476e-21  
1335.48  4.22698128849285e-21  
1335.48  4.56637443781107e-21  
1337.02  4.55586125666626e-21  
1337.02  4.4994231657907e-21  
1337.79  4.49424513518825e-21  
1337.79  4.55061827592444e-21  
1338.56  4.54538434057595e-21  
1338.56  4.48907603792464e-21  
1340.1  4.47876456132208e-21  
1340.1  4.59112248455275e-21  
1340.88  4.5857826570236e-21  
1340.88  4.41745847908392e-21  
1341.65  4.41238939705729e-21  
1343.19  4.40227737372564e-21  
1343.19  4.51410230597532e-21  
1343.96  4.50893122490556e-21  
1343.96  4.73234149891616e-21  
1344.73  4.72692351955309e-21  
1344.73  4.83849247210867e-21  
1345.5  4.83295613148747e-21  
1347.05  4.82184032710009e-21  
1347.05  4.76625610509373e-21  
1347.82  4.76081180411358e-21  
1347.82  4.64973731491026e-21  
1348.59  4.64442914027295e-21  
1348.59  4.53349794987539e-21  
1350.13  4.52316175241891e-21  
1350.13  4.57850911710458e-21  
1350.9  4.57329119233841e-21  
1350.9  4.73912761656975e-21  
1351.67  4.73372971786192e-21  
1351.67  4.89937725327394e-21  
1353.22  4.88816002979561e-21  
1353.22  4.94325491802382e-21  
1353.99  4.93763416161716e-21  
1353.99  4.82756967707918e-21  
1354.76  4.82208358023915e-21  
1354.76  4.65719081638474e-21  
1355.53  4.65190134523155e-21  
1355.53  4.5421031311643e-21  
1357.07  4.53180024338656e-21  
1357.07  4.64134940131284e-21  
1357.84  4.63608688773564e-21  
1357.84  4.69080749717558e-21  
1358.61  4.68549191988092e-21  
1360.16  4.67481909550944e-21  
1360.16  4.56575090199191e-21  
1360.93  4.56058585508773e-21  
1360.93  4.34271243437177e-21  
1361.7  4.337802478962e-21  
1361.7  4.22899702419912e-21  
1363.24  4.21944774913588e-21  
1364.01  4.21468523606893e-21  
1364.01  4.43157583040662e-21  
1364.78  4.42657670851605e-21  
1364.78  4.53489161878865e-21  
1365.56  4.52971249045432e-21  
1365.56  4.47562493045678e-21  
1367.1  4.46554727657685e-21  
1367.1  4.35758362844762e-21  
1367.87  4.35267907611184e-21  
1367.87  4.29875800972943e-21  
1368.64  4.29392238816581e-21  
1368.64  4.34778279938439e-21  
1370.18  4.33801499837557e-21  
1370.95  4.33314343703524e-21  
1370.95  4.38682249557074e-21  
1371.73  4.38183499991445e-21  
1371.73  4.48905511516333e-21  
1372.5  4.48401962833567e-21  
1372.5  4.53757751301422e-21  
1374.03  4.52747783787299e-21  
1374.03  4.5809165141777e-21  
1374.8  4.57578657829374e-21  
1374.8  4.62914953895164e-21  
1375.58  4.62390126122735e-21  
1377.12  4.61356544963706e-21  
1377.12  4.50718300350744e-21  
1377.89  4.50214695389216e-21  
1377.89  4.39588337297758e-21  
1378.66  4.39097442521557e-21  
1378.66  4.28481372677777e-21  
1380.2  4.27525723954709e-21  
1380.2  4.48708934425457e-21  
1380.97  4.48208692485255e-21  
1381.75  4.47702806319907e-21  
1381.75  4.4241848551164e-21  
1382.52  4.41925809286699e-21  
1382.52  4.20813634046198e-21  
1384.06  4.19877702854855e-21  
1384.83  4.19410907727443e-21  
1385.6  4.18944890600249e-21  
1385.6  4.13691457398834e-21  
1387.14  4.12773408464701e-21  
1387.14  4.07530074365857e-21  
1387.92  4.07072145757828e-21  
1387.92  4.01834703427067e-21  
1388.69  4.01389208838428e-21  
1388.69  3.90925937171985e-21  
1390.23  3.90060335793749e-21  
1390.23  3.69183233119895e-21  
1391  3.68774617146998e-21  
1391  3.37490522672971e-21  
1391.77  3.37117191136507e-21  
1391.77  3.2670172763065e-21  
1392.54  3.26340530421831e-21  
1392.54  3.41947226405558e-21  
1394.09  3.41187270370918e-21  
1394.09  3.72331292553343e-21  
1394.86  3.71920332365814e-21  
1394.86  3.92660611008857e-21  
1395.63  3.92227451411764e-21  
1395.63  4.12944850625374e-21  
1397.17  4.12035033499013e-21  
1397.17  4.17203356150089e-21  
1397.94  4.16743882766048e-21  
1397.94  4.21906513452609e-21  
1398.71  4.21442116123271e-21  
1398.71  4.00815857080667e-21  
1399.48  4.00374917152039e-21  
1399.48  3.74620074250429e-21  
1401.03  3.73791626731107e-21  
1401.03  3.63513388640717e-21  
1401.8  3.63114147045436e-21  
1401.8  3.78515334858484e-21  
1402.57  3.78099845001888e-21  
1402.57  4.08868409383225e-21  
1404.11  4.07972023697484e-21  
1404.11  4.23324099707927e-21  
1404.88  4.22860187873084e-21  
1404.88  4.33082169208127e-21  
1405.65  4.32607823626014e-21  
1407.2  4.31655332391104e-21  
1407.97  4.31183328413287e-21  
1407.97  4.21006165167149e-21  
1408.74  4.20546057337161e-21  
1409.51  4.20086703356914e-21  
1409.51  4.30241640056945e-21  
1411.05  4.29303033253831e-21  
1411.05  4.34370178064298e-21  
1411.82  4.33896500358529e-21  
1411.82  4.28834881234792e-21  
1412.59  4.28367494573284e-21  
1412.59  4.23311392102616e-21  
1414.14  4.22383940685826e-21  
1414.14  4.02205341502117e-21  
1414.91  4.01767696926214e-21  
1414.91  3.9672966016853e-21  
1415.68  3.96298208482715e-21  
1417.22  3.95437413891911e-21  
1417.22  4.00459040522259e-21  
1417.99  4.00024242336348e-21  
1417.99  4.05041908759247e-21  
1418.76  4.04602373339289e-21  
1419.54  4.04157858711971e-21  
1419.54  4.09164573507045e-21  
1421.08  4.08278244768846e-21  
1421.08  4.18268497815475e-21  
1421.85  4.17815595559935e-21  
1421.85  4.27796515064609e-21  
1422.62  4.27333546498125e-21  
1422.62  4.47272300145359e-21  
1424.16  4.46305517017947e-21  
1424.16  4.41331233275047e-21  
1424.93  4.40854391278977e-21  
1424.93  4.30916572850621e-21  
1425.71  4.30445196507205e-21  
1425.71  4.10594253270763e-21  
1427.25  4.09708670483413e-21  
1427.25  3.89899069671501e-21  
1428.02  3.8947870953299e-21  
1428.02  3.94424667075284e-21  
1428.79  3.93999656881856e-21  
1428.79  4.08825949689188e-21  
