#J	G0202	
#scanned warm
#Wavelength (Ang) transmission
16110.0 0.00017567
16120.0 0.00016282
16130.0 0.00013347
16140.0 0.00016235
16150.0 0.00016208
16160.0 5.3751e-05
16170.0 0.00018911
16180.0 0.00011896
16190.0 0.00013867
16200.0 0.00015513
16210.0 0.0001067 
16220.0 0.00011078
16230.0 0.00013273
16240.0 0.00018698
16250.0 9.5151e-05
16260.0 0.00016773
16270.0 0.00014943
16280.0 0.00014591
16290.0 0.00012121
16300.0 0.00015019
16310.0 0.00020386
16320.0 0.00010017
16330.0 0.00012127
16340.0 0.00016257
16350.0 0.0001296 
16360.0 8.2405e-05
16370.0 0.00015472
16380.0 0.00014576
16390.0 0.0001896 
16400.0 9.2268e-05
16410.0 0.0001951 
16420.0 0.00018771
16430.0 0.00020967
16440.0 0.00021152
16450.0 0.0001417 
16460.0 0.00017749
16470.0 0.00014666
16480.0 0.00017103
16490.0 0.00017485
16500.0 0.00018358
16510.0 0.00020126
16520.0 0.00015427
16530.0 9.9322e-05
16540.0 0.0001412 
16550.0 0.00017968
16560.0 0.00017521
16570.0 0.00011651
16580.0 0.00015006
16590.0 0.00012134
16600.0 0.00014698
16610.0 0.00013175
16620.0 0.00012282
16630.0 9.597e-05 
16640.0 0.00023246
16650.0 0.00013644
16660.0 0.00010508
16670.0 0.00014132
16680.0 0.00010807
16690.0 0.00016743
16700.0 0.00013853
16710.0 0.00017036
16720.0 0.00015005
16730.0 0.0001588 
16740.0 0.00017542
16750.0 0.00022971
16760.0 0.00015841
16770.0 0.00016728
16780.0 0.00017899
16790.0 0.00018397
16800.0 0.0001777 
16810.0 0.00011436
16820.0 0.00015257
16830.0 0.00016374
16840.0 0.00014471
16850.0 0.00012933
16860.0 0.00013939
16870.0 0.00018318
16880.0 0.00013291
16890.0 0.00013426
16900.0 0.00014558
16910.0 0.00014062
16920.0 0.00015943
16930.0 0.00012869
16940.0 0.00017498
16950.0 0.00017602
16960.0 0.00012505
16970.0 0.0001416 
16980.0 0.00017825
16990.0 0.00013427
17000.0 0.0001192 
17010.0 0.00012825
17020.0 0.00018823
17030.0 0.00016651
17040.0 0.00018149
17050.0 0.00011258
17060.0 0.00012852
17070.0 0.00012083
17080.0 0.00012118
17090.0 0.00013386
17100.0 0.00014115
17110.0 0.00020952
17120.0 0.00014141
17130.0 0.00016615
17140.0 0.00015814
17150.0 0.00013845
17160.0 0.00013334
17170.0 0.00013297
17180.0 0.00018743
17190.0 0.00011758
17200.0 0.00014174
17210.0 0.00017087
17220.0 0.00017833
17230.0 0.00015008
17240.0 0.00011522
17250.0 0.0001611 
17260.0 0.0001308 
17270.0 0.00010714
17280.0 0.00014905
17290.0 0.00016401
17300.0 9.0765e-05
17310.0 0.000163  
17320.0 0.00019372
17330.0 0.00014643
17340.0 0.00018265
17350.0 0.00011639
17360.0 0.0001161 
17370.0 0.00012954
17380.0 0.00010406
17390.0 0.00011688
17400.0 0.00015412
17410.0 0.00011242
17420.0 0.00012434
17430.0 0.00018323
17440.0 9.5911e-05
17450.0 0.00014433
17460.0 0.00011273
17470.0 0.00012023
17480.0 0.00013498
17490.0 0.00016507
17500.0 0.0001433 
17510.0 0.00015374
17520.0 0.00018782
17530.0 0.00018848
17540.0 0.00012631
17550.0 0.00016575
17560.0 0.00011606
17570.0 0.00011657
17580.0 0.00015711
17590.0 0.0001544 
