#H	G0203
#scanned warm
#Wavelength (Ang) Transmission
13890.0 0.00015033
13900.0 0.0001752 
13910.0 0.00015642
13920.0 0.00016294
13930.0 0.00014542
13940.0 0.00012936
13950.0 0.00019486
13960.0 0.00016812
13970.0 0.00012103
13980.0 0.00015851
13990.0 0.00016439
14000.0 0.00020357
14010.0 0.00022721
14020.0 0.00018492
14030.0 0.00024767
14040.0 0.00015815
14050.0 0.00021476
14060.0 0.00018439
14070.0 0.00019875
14080.0 0.00017585
14090.0 0.00022558
14100.0 0.00018663
14110.0 0.00023597
14120.0 0.00019778
14130.0 0.00018934
14140.0 0.00018936
14150.0 0.00020697
14160.0 0.00026401
14170.0 0.00018704
14180.0 0.00022248
14190.0 0.00020704
14200.0 0.0002097 
14210.0 0.00026101
14220.0 0.00022443
14230.0 0.00026682
14240.0 0.00029604
14250.0 0.00036485
14260.0 0.00035451
14270.0 0.00038964
14280.0 0.00037503
14290.0 0.00040573
14300.0 0.00041948
14310.0 0.00045963
14320.0 0.00050531
14330.0 0.00057046
14340.0 0.00056351
14350.0 0.00057487
14360.0 0.00059729
14370.0 0.00065955
14380.0 0.00071257
14390.0 0.00076782
14400.0 0.00080904
14410.0 0.00086344
14420.0 0.00084225
14430.0 0.00091494
14440.0 0.00096561
14450.0 0.00095268
14460.0 0.0011211 
14470.0 0.0011631 
14480.0 0.0012041 
14490.0 0.0012682 
14500.0 0.0014001 
14510.0 0.0014791 
14520.0 0.0015848 
14530.0 0.0017083 
14540.0 0.0018051 
14550.0 0.0019692 
14560.0 0.0021409 
14570.0 0.0022721 
14580.0 0.0024257 
14590.0 0.0026597 
14600.0 0.0029231 
14610.0 0.0032354 
14620.0 0.0035263 
14630.0 0.0039165 
14640.0 0.0042356 
14650.0 0.0047115 
14660.0 0.0052464 
14670.0 0.0058445 
14680.0 0.0064635 
14690.0 0.0073264 
14700.0 0.008161  
14710.0 0.0092378 
14720.0 0.010458  
14730.0 0.011776  
14740.0 0.013398  
14750.0 0.015226  
14760.0 0.017303  
14770.0 0.019729  
14780.0 0.02253   
14790.0 0.02581   
14800.0 0.029527  
14810.0 0.033896  
14820.0 0.038919  
14830.0 0.044458  
14840.0 0.051081  
14850.0 0.058341  
14860.0 0.0669    
14870.0 0.076482  
14880.0 0.087216  
14890.0 0.099081  
14900.0 0.11228   
14910.0 0.12705   
14920.0 0.14339   
14930.0 0.16167   
14940.0 0.18082   
14950.0 0.20223   
14960.0 0.225     
14970.0 0.24979   
14980.0 0.27651   
14990.0 0.30444   
15000.0 0.33534   
15010.0 0.36659   
15020.0 0.39956   
15030.0 0.4346    
15040.0 0.46935   
15050.0 0.50552   
15060.0 0.54276   
15070.0 0.57896   
15080.0 0.61413   
15090.0 0.64858   
15100.0 0.68045   
15110.0 0.71036   
15120.0 0.73735   
15130.0 0.76108   
15140.0 0.78127   
15150.0 0.79744   
15160.0 0.81038   
15170.0 0.82024   
15180.0 0.82669   
15190.0 0.83074   
15200.0 0.8327    
