#K	G0204
#scanned warm
#Wavelength (Ang) transmission
15560.0 6.7982e-05 
15570.0 1.5916e-05 
15580.0 4.9648e-05 
15590.0 0.00012612 
15600.0 0.00011336 
15610.0 5.4848e-05 
15620.0 7.0819e-05 
15630.0 8.4301e-05 
15640.0 0.00011707 
15650.0 0.00010046 
15660.0 4.6479e-05 
15670.0 0.00013471 
15680.0 4.5996e-05 
15690.0 8.4143e-05 
15700.0 8.7598e-05 
15710.0 0.00012254 
15720.0 0.00012605 
15730.0 2.9821e-05 
15740.0 7.0414e-05 
15750.0 0.00013067 
15760.0 7.5508e-05 
15770.0 9.2697e-05 
15780.0 9.6687e-05 
15790.0 0.00011613 
15800.0 6.6416e-05 
15810.0 5.1154e-05 
15820.0 0.00011333 
15830.0 7.9724e-05 
15840.0 9.1683e-05 
15850.0 9.2864e-05 
15860.0 9.6568e-05 
15870.0 7.902e-05  
15880.0 6.3658e-05 
15890.0 9.2463e-05 
15900.0 6.2749e-05 
15910.0 0.00013406 
15920.0 0.00012181 
15930.0 0.00015165 
15940.0 0.00010044 
15950.0 7.1636e-05 
15960.0 0.00012171 
15970.0 3.0547e-05 
15980.0 3.6375e-05 
15990.0 6.73e-05   
16000.0 0.00014034 
16010.0 0.00013723 
16020.0 3.1521e-05 
16030.0 4.6576e-05 
16040.0 0.00016434 
16050.0 5.4203e-05 
16060.0 7.8045e-05 
16070.0 3.0031e-05 
16080.0 5.2725e-06 
16090.0 6.6899e-05 
16100.0 8.3475e-05 
16110.0 9.2926e-05 
16120.0 1.6761e-05 
16130.0 0.00012595 
16140.0 9.2401e-05 
16150.0 9.6768e-05 
16160.0 7.9711e-05 
16170.0 4.195e-05  
16180.0 7.1671e-05 
16190.0 0.00012977 
16200.0 0.00010146 
16210.0 0.00013908 
16220.0 1.9869e-05 
16230.0 0.00012218 
16240.0 0.00010142 
16250.0 9.6842e-05 
16260.0 0.00011129 
16270.0 0.00012237 
16280.0 4.7186e-05 
16290.0 0.00010858 
16300.0 2.5586e-05 
16310.0 0.00011351 
16320.0 1.6648e-05 
16330.0 4.614e-05  
16340.0 0.00011777 
16350.0 9.6891e-05 
16360.0 0.0001006  
16370.0 6.2988e-05 
16380.0 0.0001304  
16390.0 5.0716e-05 
16400.0 0.00010469 
16410.0 0.00010567 
16420.0 4.1008e-05 
16430.0 7.1299e-05 
16440.0 3.5237e-05 
16450.0 4.0766e-05 
16460.0 6.6105e-05 
16470.0 8.8417e-05 
16480.0 0.00011422 
16490.0 9.919e-05  
16500.0 0.00013765 
16510.0 6.3492e-05 
